lat,lon,timestamp,datetime,heart_rate,cadence,power
0.0,0.0,1525020385.0,2018-04-29 16:46:06,0.0,90.0,186.0
51.1774850171,3.9330649842,1525020386.0,2018-04-29 16:46:07,109.0,90.0,176.0
51.1774850171,3.9330649842,1525020387.0,2018-04-29 16:46:08,109.0,90.0,166.0
51.1774850171,3.9330649842,1525020388.0,2018-04-29 16:46:09,109.0,91.0,189.0
51.1774850171,3.9330649842,1525020389.0,2018-04-29 16:46:10,109.0,92.0,188.0
51.1774850171,3.9330649842,1525020390.0,2018-04-29 16:46:11,109.0,92.0,191.0
51.1774850171,3.9330649842,1525020391.0,2018-04-29 16:46:12,109.0,93.0,177.0
51.1774850171,3.9330649842,1525020392.0,2018-04-29 16:46:13,110.0,93.0,177.0
51.1774850171,3.9330649842,1525020393.0,2018-04-29 16:46:14,110.0,93.0,190.0
51.1774850171,3.9330649842,1525020394.0,2018-04-29 16:46:15,111.0,93.0,170.0
51.1774850171,3.9330649842,1525020395.0,2018-04-29 16:46:16,111.0,93.0,184.0
51.1774850171,3.9330649842,1525020396.0,2018-04-29 16:46:17,111.0,93.0,177.0
51.1774850171,3.9330649842,1525020397.0,2018-04-29 16:46:18,111.0,93.0,175.0
51.1774850171,3.9330649842,1525020398.0,2018-04-29 16:46:19,111.0,92.0,172.0
51.1774850171,3.9330649842,1525020399.0,2018-04-29 16:46:20,110.0,92.0,181.0
51.1774850171,3.9330649842,1525020400.0,2018-04-29 16:46:21,110.0,92.0,182.0
51.1774850171,3.9330649842,1525020401.0,2018-04-29 16:46:22,110.0,92.0,168.0
51.1774850171,3.9330649842,1525020402.0,2018-04-29 16:46:23,110.0,92.0,179.0
51.1774850171,3.9330649842,1525020403.0,2018-04-29 16:46:24,110.0,92.0,174.0
51.1774850171,3.9330649842,1525020404.0,2018-04-29 16:46:25,110.0,92.0,172.0
51.1774850171,3.9330649842,1525020405.0,2018-04-29 16:46:26,111.0,91.0,181.0
51.1774850171,3.9330649842,1525020406.0,2018-04-29 16:46:27,111.0,92.0,185.0
51.1774850171,3.9330649842,1525020407.0,2018-04-29 16:46:28,111.0,93.0,188.0
51.1774850171,3.9330649842,1525020408.0,2018-04-29 16:46:29,111.0,93.0,195.0
51.1774850171,3.9330649842,1525020409.0,2018-04-29 16:46:30,111.0,93.0,179.0
51.1774850171,3.9330649842,1525020410.0,2018-04-29 16:46:31,112.0,93.0,193.0
51.1774850171,3.9330649842,1525020411.0,2018-04-29 16:46:32,112.0,93.0,167.0
51.1774850171,3.9330649842,1525020412.0,2018-04-29 16:46:33,112.0,93.0,185.0
51.1774850171,3.9330649842,1525020413.0,2018-04-29 16:46:34,112.0,93.0,177.0
51.1774850171,3.9330649842,1525020414.0,2018-04-29 16:46:35,112.0,93.0,188.0
51.1774850171,3.9330649842,1525020415.0,2018-04-29 16:46:36,113.0,93.0,177.0
51.1774850171,3.9330649842,1525020416.0,2018-04-29 16:46:37,114.0,93.0,165.0
51.1774850171,3.9330649842,1525020417.0,2018-04-29 16:46:38,114.0,92.0,174.0
51.1774850171,3.9330649842,1525020418.0,2018-04-29 16:46:39,114.0,92.0,171.0
51.1774850171,3.9330649842,1525020419.0,2018-04-29 16:46:40,114.0,92.0,181.0
51.1774850171,3.9330649842,1525020420.0,2018-04-29 16:46:41,114.0,92.0,175.0
51.1774850171,3.9330649842,1525020421.0,2018-04-29 16:46:42,114.0,92.0,164.0
51.1774850171,3.9330649842,1525020422.0,2018-04-29 16:46:43,114.0,91.0,173.0
51.1774850171,3.9330649842,1525020423.0,2018-04-29 16:46:44,114.0,92.0,183.0
51.1774850171,3.9330649842,1525020424.0,2018-04-29 16:46:45,114.0,92.0,174.0
51.1774850171,3.9330649842,1525020425.0,2018-04-29 16:46:46,114.0,92.0,184.0
51.1774850171,3.9330649842,1525020426.0,2018-04-29 16:46:47,114.0,92.0,167.0
51.1774850171,3.9330649842,1525020427.0,2018-04-29 16:46:48,114.0,91.0,177.0
51.1774850171,3.9330649842,1525020428.0,2018-04-29 16:46:49,114.0,91.0,170.0
51.1774850171,3.9330649842,1525020429.0,2018-04-29 16:46:50,114.0,91.0,183.0
51.1774850171,3.9330649842,1525020430.0,2018-04-29 16:46:51,113.0,90.0,168.0
51.1774850171,3.9330649842,1525020431.0,2018-04-29 16:46:52,113.0,90.0,165.0
51.1774850171,3.9330649842,1525020432.0,2018-04-29 16:46:53,112.0,90.0,163.0
51.1774850171,3.9330649842,1525020433.0,2018-04-29 16:46:54,112.0,90.0,180.0
51.1774850171,3.9330649842,1525020434.0,2018-04-29 16:46:55,112.0,90.0,178.0
51.1774850171,3.9330649842,1525020435.0,2018-04-29 16:46:56,112.0,90.0,184.0
51.1774850171,3.9330649842,1525020436.0,2018-04-29 16:46:57,112.0,90.0,172.0
51.1774850171,3.9330649842,1525020437.0,2018-04-29 16:46:58,112.0,91.0,182.0
51.1774850171,3.9330649842,1525020438.0,2018-04-29 16:46:59,112.0,91.0,163.0
51.1774850171,3.9330649842,1525020439.0,2018-04-29 16:47:00,112.0,90.0,170.0
51.1774850171,3.9330649842,1525020440.0,2018-04-29 16:47:01,112.0,90.0,166.0
51.1774850171,3.9330649842,1525020441.0,2018-04-29 16:47:02,112.0,90.0,170.0
51.1774850171,3.9330649842,1525020442.0,2018-04-29 16:47:03,112.0,90.0,173.0
51.1774850171,3.9330649842,1525020443.0,2018-04-29 16:47:04,111.0,90.0,181.0
