timestamp,watts,bpm,cadence,speed,distance,altitude,temperature,latitide,longitude,torque,np,leftrightbalance,wattse
1525023464000,0,64,0,8.1272,76.8218,,,,,0,0,,
1525023465000,0,65,0,8.1499,8.1426,,,,,0,0,,
1525023466000,43,65,0,8.1499,8.1499,,,,,0,0,,
1525023467000,104,67,0,8.1530,8.1502,,,,,0,0,,
1525023468000,145,69,0,8.0913,8.1158,,,,,0,0,,
1525023469000,162,69,0,8.0382,8.0610,,,,,0,0,,
1525023470000,130,70,0,7.9560,7.9946,,,,,0,0,,
1525023471000,137,75,0,7.9560,7.9560,,,,,0,0,,
1525023472000,172,77,0,7.9363,7.9424,,,,,0,0,,
1525023473000,226,77,0,7.9339,7.9341,,,,,0,0,,
1525023474000,242,81,0,7.9070,7.9111,,,,,0,0,,
1525023475000,210,86,0,7.9031,7.9029,,,,,0,0,,
1525023476000,188,86,0,7.9363,7.9274,,,,,0,0,,
1525023477000,180,89,0,7.9857,7.9828,,,,,0,0,,
1525023478000,187,89,0,8.0156,8.0125,,,,,0,0,,
1525023479000,186,95,0,8.0356,8.0327,,,,,0,0,,
1525023480000,177,95,0,8.0913,8.0954,,,,,0,0,,
1525023481000,168,97,0,8.1764,8.1796,,,,,0,0,,
1525023482000,169,98,0,8.2314,8.2323,,,,,0,0,,
1525023483000,154,98,0,8.2314,8.2314,,,,,0,0,,
1525023484000,153,100,0,8.2552,8.2609,,,,,0,0,,
1525023485000,153,101,0,8.2552,8.2552,,,,,0,0,,
1525023486000,158,101,0,8.2314,8.2263,,,,,0,0,,
1525023487000,161,104,0,8.2314,8.2314,,,,,0,0,,
1525023488000,162,104,0,8.2314,8.2314,,,,,0,0,,
1525023489000,162,104,0,8.2314,8.2314,,,,,0,0,,
1525023490000,161,104,0,8.2314,8.2314,,,,,0,0,,
1525023491000,167,106,0,8.2077,8.1985,,,,,0,0,,
1525023492000,169,106,0,8.1220,8.1339,,,,,0,0,,
1525023493000,168,106,0,8.0685,8.0912,,,,,0,153,,
1525023494000,172,106,0,8.0156,8.0400,,,,,0,153,,
1525023495000,178,107,0,8.0156,8.0156,,,,,0,156,,
1525023496000,177,108,0,7.9560,7.9265,,,,,0,158,,
1525023497000,174,108,0,7.9857,7.9989,,,,,0,161,,
1525023498000,173,108,0,8.0382,8.0414,,,,,0,163,,
1525023499000,166,109,0,8.0156,8.0252,,,,,0,164,,
1525023500000,169,111,0,7.9857,7.9996,,,,,0,165,,
1525023501000,168,112,0,7.9339,7.9469,,,,,0,166,,
1525023502000,168,113,0,7.9070,7.9152,,,,,0,167,,
1525023503000,167,113,0,7.9339,7.9312,,,,,0,168,,
1525023504000,169,113,0,8.0156,8.0031,,,,,0,168,,
1525023505000,164,113,0,8.0913,8.0765,,,,,0,168,,
1525023506000,158,113,0,8.1220,8.1150,,,,,0,168,,
1525023507000,157,115,0,8.1220,8.1220,,,,,0,168,,
1525023508000,151,116,0,8.1790,8.1626,,,,,0,168,,
1525023509000,152,116,0,8.2077,8.2061,,,,,0,168,,
1525023510000,161,116,0,8.2077,8.2077,,,,,0,168,,
1525023511000,169,116,0,8.1220,8.1299,,,,,0,168,,
1525023512000,168,116,0,8.0964,8.0995,,,,,0,168,,
1525023513000,165,116,0,8.0382,8.0320,,,,,0,167,,
1525023514000,162,116,0,8.0156,8.0141,,,,,0,167,,
1525023515000,159,115,0,8.0382,8.0446,,,,,0,167,,
1525023516000,153,115,0,8.0685,8.0758,,,,,0,167,,
1525023517000,164,115,0,8.0685,8.0685,,,,,0,167,,
1525023518000,173,115,0,8.0382,8.0330,,,,,0,167,,
1525023519000,179,115,0,8.0382,8.0381,,,,,0,167,,
